date,year,month,segment_label,passengers,commercial_units,direct_flights,destinations,passengers_yoy_pct,direct_flights_yoy_pct
2022-06-01,2022,6,International,11286396,13057076,97460,101,260.34,119.37
2022-06-01,2022,6,National,2708514,2837826,32124,2,52.12,24.72
2022-07-01,2022,7,International,12917441,14689651,108005,101,99.63,46.14
2022-07-01,2022,7,National,2961681,3080856,34114,2,11.52,5.32
2022-08-01,2022,8,International,13229204,15036735,105241,102,66.23,33.51
2022-08-01,2022,8,National,2879078,2998142,31340,2,9.16,0.99
2022-09-01,2022,9,International,11428068,13372730,94635,102,79.45,38.69
2022-09-01,2022,9,National,2437099,2558481,28718,2,17.98,9.3
2022-10-01,2022,10,International,11461730,13449350,93114,100,66.8,36.39
2022-10-01,2022,10,National,2548326,2678302,28593,2,16.16,9.58
2022-11-01,2022,11,International,8772319,10746049,76430,100,41.95,18.92
2022-11-01,2022,11,National,2117209,2249041,24903,2,4.68,4.86
2022-12-01,2022,12,International,9653920,11667520,81738,101,65.14,24.63
2022-12-01,2022,12,National,2424645,2589760,27251,2,8.77,1.02
2023-01-01,2023,1,International,8758001,10249098,76473,102,102.08,40.11
2023-01-01,2023,1,National,2054278,2174826,25450,2,24.2,8.87
2023-02-01,2023,2,International,8765277,10261250,74188,101,58.61,29.04
2023-02-01,2023,2,National,2002312,2119837,24565,2,13.74,5.33
2023-03-01,2023,3,International,9852105,11617080,82595,101,33.47,12.93
2023-03-01,2023,3,National,2008291,2149369,25158,2,-4.4,-9.56
2023-04-01,2023,4,International,11677121,13236092,94183,97,24.19,11.48
2023-04-01,2023,4,National,2430339,2559256,27331,2,-0.82,-3.05
2023-05-01,2023,5,International,12904316,14523326,104629,99,19.63,8.4
2023-05-01,2023,5,National,2583970,2697509,29869,2,-1.75,-1.74
2023-06-01,2023,6,International,13037544,14705448,106027,99,15.52,8.79
2023-06-01,2023,6,National,2630157,2759495,31766,2,-2.89,-1.11
2023-07-01,2023,7,International,14718803,16356262,115313,101,13.95,6.77
2023-07-01,2023,7,National,2807287,2922711,32297,2,-5.21,-5.33
2023-08-01,2023,8,International,14883838,16543958,112364,100,12.51,6.77
2023-08-01,2023,8,National,2738921,2854311,30649,2,-4.87,-2.2
2023-09-01,2023,9,International,13267761,15007250,105062,99,16.1,11.02
2023-09-01,2023,9,National,2478591,2600312,29103,2,1.7,1.34
2023-10-01,2023,10,International,12974048,14851977,101891,99,13.19,9.43
2023-10-01,2023,10,National,2477391,2602573,27606,2,-2.78,-3.45
2023-11-01,2023,11,International,9609554,11503125,81389,99,9.54,6.49
2023-11-01,2023,11,National,2059481,2190035,23858,2,-2.73,-4.2
2023-12-01,2023,12,International,10605201,12516258,87540,99,9.85,7.1
2023-12-01,2023,12,National,2292118,2439249,25347,2,-5.47,-6.99
2024-01-01,2024,1,International,9226576,10817383,76683,100,5.35,0.27
2024-01-01,2024,1,National,1967800,2085910,23094,2,-4.21,-9.26
2024-02-01,2024,2,International,9488697,11149037,76737,98,8.25,3.44
2024-02-01,2024,2,National,1907449,2027439,22832,2,-4.74,-7.05
2024-03-01,2024,3,International,10980100,12725730,88898,99,11.45,7.63
2024-03-01,2024,3,National,2147547,2276123,25269,2,6.93,0.44
2024-04-01,2024,4,International,12824423,14503223,99267,103,9.83,5.4
2024-04-01,2024,4,National,2316501,2436488,26106,2,-4.68,-4.48
2024-05-01,2024,5,International,13998633,15724870,111034,104,8.48,6.12
2024-05-01,2024,5,National,2443874,2554085,28192,2,-5.42,-5.61
2024-06-01,2024,6,International,14044091,15776411,111173,101,7.72,4.85
2024-06-01,2024,6,National,2441731,2561133,30017,2,-7.16,-5.51
2024-07-01,2024,7,International,15280903,17060694,119521,102,3.82,3.65
2024-07-01,2024,7,National,2585248,2709921,30819,2,-7.91,-4.58
2024-08-01,2024,8,International,15883374,17560319,118179,101,6.72,5.18
2024-08-01,2024,8,National,2619028,2725605,28809,2,-4.38,-6.0
2024-09-01,2024,9,International,13940968,15652737,108127,101,5.07,2.92
2024-09-01,2024,9,National,2357580,2469110,27644,2,-4.88,-5.01
2024-10-01,2024,10,International,13576491,15549771,103778,105,4.64,1.85
2024-10-01,2024,10,National,2365998,2490009,27102,2,-4.5,-1.83
2024-11-01,2024,11,International,10107338,11974240,80814,99,5.18,-0.71
2024-11-01,2024,11,National,1986887,2105088,22733,2,-3.52,-4.72
2024-12-01,2024,12,International,11259376,13128673,89638,101,6.17,2.4
2024-12-01,2024,12,National,2219274,2357667,24408,2,-3.18,-3.7
