date,year,month,segment_label,passengers,commercial_units,direct_flights,destinations,passengers_yoy_pct,direct_flights_yoy_pct
1996-09-01,1996,9,National,2385591,2620424,45431,2,5.55,11.73
1996-10-01,1996,10,International,4207168,5301820,67918,84,6.95,5.03
1996-10-01,1996,10,National,2383766,2634761,45551,2,4.55,12.08
1996-11-01,1996,11,International,3373283,4519546,62983,79,14.13,9.51
1996-11-01,1996,11,National,2107007,2344230,42627,2,3.31,10.98
1996-12-01,1996,12,International,3411773,4532489,62833,83,19.93,10.81
1996-12-01,1996,12,National,2305617,2568486,44170,2,12.37,15.11
1997-01-01,1997,1,International,3407391,4341354,63277,82,8.26,2.44
1997-01-01,1997,1,National,2282438,2529040,48314,2,2.98,13.81
1997-02-01,1997,2,International,3339138,4346884,61963,78,9.01,6.02
1997-02-01,1997,2,National,2190103,2421317,42354,2,2.03,4.49
1997-03-01,1997,3,International,4180228,5351882,68335,82,4.65,6.48
1997-03-01,1997,3,National,2310208,2563493,45739,2,-4.87,5.0
1997-04-01,1997,4,International,4454864,5495488,72392,81,3.47,5.2
1997-04-01,1997,4,National,2408546,2664723,46586,2,-3.52,4.2
1997-05-01,1997,5,International,4566796,5607690,75831,84,2.36,2.62
1997-05-01,1997,5,National,2170490,2394505,46138,2,-9.85,3.43
1997-06-01,1997,6,International,4749735,5835428,73178,84,2.94,3.36
1997-06-01,1997,6,National,2594047,2831387,50915,2,0.21,13.28
1997-07-01,1997,7,International,5178499,6264559,76512,89,4.55,2.5
1997-07-01,1997,7,National,2628602,2887792,53389,2,1.53,11.47
1997-08-01,1997,8,International,5555909,6582139,76075,88,6.23,3.83
1997-08-01,1997,8,National,2470402,2684840,48278,2,3.66,11.96
1997-09-01,1997,9,International,5046186,6117162,75047,85,4.69,4.99
1997-09-01,1997,9,National,2531768,2779980,52139,2,6.13,14.77
1997-10-01,1997,10,International,4564445,5726428,73429,81,8.49,8.11
1997-10-01,1997,10,National,2517144,2781665,51901,2,5.6,13.94
1997-11-01,1997,11,International,3670029,4788374,67471,76,8.8,7.13
1997-11-01,1997,11,National,2247681,2480084,47271,2,6.68,10.89
1997-12-01,1997,12,International,3601213,4729803,67138,78,5.55,6.85
1997-12-01,1997,12,National,2390590,2649476,48866,2,3.69,10.63
1998-01-01,1998,1,International,3675588,4644039,70072,79,7.87,10.74
1998-01-01,1998,1,National,2344525,2573368,50205,2,2.72,3.91
1998-02-01,1998,2,International,3648737,4659614,65711,79,9.27,6.05
1998-02-01,1998,2,National,2240545,2462522,46475,2,2.3,9.73
1998-03-01,1998,3,International,4361521,5562647,73025,81,4.34,6.86
1998-03-01,1998,3,National,2484159,2740711,51379,2,7.53,12.33
1998-04-01,1998,4,International,5028960,6116613,75428,82,12.89,4.19
1998-04-01,1998,4,National,2676322,2906751,51924,2,11.12,11.46
1998-05-01,1998,5,International,5164697,6245334,80764,82,13.09,6.51
1998-05-01,1998,5,National,2467867,2672251,50678,2,13.7,9.84
1998-06-01,1998,6,International,4860765,5753441,75512,77,2.34,3.19
1998-06-01,1998,6,National,2331357,2551524,50518,2,-10.13,-0.78
1998-07-01,1998,7,International,5599254,6725555,83244,85,8.13,8.8
1998-07-01,1998,7,National,2778865,3010756,56080,2,5.72,5.04
1998-08-01,1998,8,International,6012957,7040825,81724,85,8.23,7.43
1998-08-01,1998,8,National,2604494,2816995,50845,2,5.43,5.32
1998-09-01,1998,9,International,5464090,6535087,78685,83,8.28,4.85
1998-09-01,1998,9,National,2645973,2889060,53210,2,4.51,2.05
1998-10-01,1998,10,International,4949182,6137177,77060,81,8.43,4.94
1998-10-01,1998,10,National,2619942,2866924,53943,2,4.08,3.93
1998-11-01,1998,11,International,3855534,5054559,69857,78,5.05,3.54
1998-11-01,1998,11,National,2374773,2590803,49858,2,5.65,5.47
1998-12-01,1998,12,International,3918873,5091650,71333,81,8.82,6.25
1998-12-01,1998,12,National,2620677,2876693,51088,2,9.62,4.55
1999-01-01,1999,1,International,4100985,5120261,73988,80,11.57,5.59
1999-01-01,1999,1,National,2467568,2720334,50667,2,5.25,0.92
1999-02-01,1999,2,International,4071863,5191615,68103,79,11.6,3.64
1999-02-01,1999,2,National,2372886,2607607,47828,2,5.91,2.91
1999-03-01,1999,3,International,4882217,6181010,77895,81,11.94,6.67
1999-03-01,1999,3,National,2675371,2945165,53915,2,7.7,4.94
1999-04-01,1999,4,International,5303574,6481649,81014,83,5.46,7.41
1999-04-01,1999,4,National,2733736,2981154,52616,2,2.15,1.33
1999-05-01,1999,5,International,5589374,6783499,86807,85,8.22,7.48
1999-05-01,1999,5,National,2752951,2969680,53568,2,11.55,5.7
1999-06-01,1999,6,International,5608362,6829983,84491,87,15.38,11.89
1999-06-01,1999,6,National,2923908,3174520,54141,2,25.42,7.17
1999-07-01,1999,7,International,6292778,7555604,89589,90,12.39,7.62
1999-07-01,1999,7,National,2980302,3223091,55912,2,7.25,-0.3
1999-08-01,1999,8,International,6401422,7564124,88266,90,6.46,8.0
1999-08-01,1999,8,National,2732330,2958354,50196,2,4.91,-1.28
1999-09-01,1999,9,International,5880905,7136720,84937,91,7.63,7.95
1999-09-01,1999,9,National,2791445,3035817,54223,2,5.5,1.9
1999-10-01,1999,10,International,5494898,6854154,82969,84,11.03,7.67
1999-10-01,1999,10,National,2685874,2920992,53346,2,2.52,-1.11
1999-11-01,1999,11,International,4516323,5842735,77338,83,17.14,10.71
1999-11-01,1999,11,National,2538083,2732766,48495,2,6.88,-2.73
1999-12-01,1999,12,International,4064240,5330796,75493,82,3.71,5.83
1999-12-01,1999,12,National,2561018,2782957,48963,2,-2.28,-4.16
2000-01-01,2000,1,International,4405561,5604568,80094,78,7.43,8.25
2000-01-01,2000,1,National,2524354,2728187,49147,2,2.3,-3.0
2000-02-01,2000,2,International,4555536,5882355,78616,82,11.88,15.44
2000-02-01,2000,2,National,2528519,2682568,48632,2,6.56,1.68
2000-03-01,2000,3,International,5408667,6927128,86047,82,10.78,10.47
2000-03-01,2000,3,National,2828974,3047947,54271,2,5.74,0.66
2000-04-01,2000,4,International,6188205,7516757,88341,87,16.68,9.04
2000-04-01,2000,4,National,2825649,3073448,51159,2,3.36,-2.77
2000-05-01,2000,5,International,6122849,7465451,92299,88,9.54,6.33
